ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Media_IDs,comment,comment_french
LX000184,xed,dà-ghá-dà,v,,21e5da08a3bf34456bdcf3eac3763a77,,
LX000185,xed,ɗùghús,n,,,,
LX000186,xed,dúglulúm,num,,,,
LX000187,xed,dúglúlúm,num,,6e655640c09ffeaf33910389f204b1fb,,
LX000188,xed,dàgwàmbèzá,n,,0a5f3a7e204445146dc4b6c7bc1ade59,,
LX000189,xed,dàgà,prep,,,,
LX000190,xed,ɗágà,n,,,,
LX000191,xed,ɗágàkú,vn,,,,
LX000192,xed,dágálá,adj,,6848b38454d0bc3f80efe5c542a8c9f8,,
LX000193,xed,dúgùm,n,,b96bda9ef438413b70b2012481c8d31e,,
LX000194,xed,dígìr,n,,a46c358277c981e94547ff00fb24332e,,
LX000195,xed,ɗék ɗék,adv,,,,
LX000196,xed,dà-k-dà,v,,2daf7abf989f0c1c4882321734232dff,,
LX000197,xed,dèkw,adj,,,,
LX000198,xed,dèkwá,adj,,8cc645332f6db74868d2e66e5adabf05,,
LX000199,xed,dúkwá,v,,0d48f45d7988535cf9ea61a98089acd4,takes associative extension to mark the object of awareness,prend l’extension associative pour marquer l’objet de la prise de conscience
LX000200,xed,dèkwà,n,,,,
LX000201,xed,dúkwà,np,,a26b574570e0d270ddbbfb07eaca3efd,,
LX000202,xed,dúlvghá,n,,47c4ba3e22ee1b458104f17a0a86a34b,,
LX000203,xed,dálà,v,,d180ab900b829200fca27175119f5da0,,
LX000204,xed,dàlà,n,,3ff199b4e8a6fd95fd49730395f92953,,
LX000205,xed,dúlí,n,,e8760d37bf03551c056ed3d6a8660d72,,
LX000206,xed,ɗàlí,n,,,,
LX000207,xed,dúlá krámásá,n,,,,
LX000208,xed,dúlá tàbà,n,,2e5e1614fdce9e760f453c0cdbae6582,,
LX000209,xed,dàlàgàr,n,,a158029585861e1bd09b70d46187475c,,
LX000210,xed,ɗèlèwèr,n,,,,
LX000211,xed,dím dím,quant,,51f352f8c8922cbb300edf82a5bf71ec,,
LX000212,xed,dúmbu’,num,,,,
LX000213,xed,dúmbì,n,,,,
LX000214,xed,dìmbìkw,n,,517cbcaed612efa13d8664642417c536,,
LX000215,xed,démdém,quant,,9178a508190b0b8812069ebbff7f2e3a,,
LX000216,xed,dúŋ,subord,,,,
LX000217,xed,ɗíŋ,n,,,,
LX000218,xed,díngà,v.tr,,b7cd8cffa96a5cee4da70659f45202ef,,
LX000219,xed,ɗáŋwà,n,,,,
LX000220,xed,dà-ná-dà,v,,aea7dffd857c5b992c2ab41a72adc16f,,
LX000221,xed,dèrí,n,,0fa00c4e53934558862b967cfd0a0dda,,
LX000222,xed,dìskívà,n,,,,
LX000223,xed,dùssúm,n,,,,
LX000224,xed,dàsú,n,,11477d883cb0b468252ffb9742cd2a55,,
LX000225,xed,dùsík,n,,,Viverra civetta Schreber,
LX000226,xed,dúvúl,n,,,,
LX000227,xed,dùvúl,n,,dda331d6eec72ffafaef1196ea3ba6d7,,
LX000228,xed,ɗáwá,v,,,the direct object of the verb is the thing asked not the addressee,l’objet direct du verbe est la chose demandée et non la personne à qui on la demande
LX000229,xed,ɗáwú,vn,,,,
LX000230,xed,ɗáwá gwáɗá,v,,,,
LX000231,xed,ɗáw-ú-ɗáwá,v,,,,
LX000232,xed,ɗáwákú,vn,,,,
LX000233,xed,ɗáwá-ná-ɗáwá,v.tr,,,,
LX000234,xed,ɗáwá-ná-f-ɗáwá,v,,,,
LX000235,xed,ɗáwà-ná-gh-w-ɗáwà,v,,,,
LX000236,xed,ɗáwá-ná-ghá-ɗáwá,v,,,,
LX000237,xed,dùxwál,n,,48dba656ddba03b06aa401e6dd23aa65,,
LX000238,xed,ɗáxà,n,,,,
LX000239,xed,ɗáxá,v.tr,,,,
LX000240,xed,ɗíxá,v.tr,,,,
LX000241,xed,ɗáxàwú,n,,,,
LX000242,xed,déydéy,adv,,38871393bbc478f6d55b9952b19a26bf,,
LX000243,xed,ɗìyá,v.intr,,,,
LX000244,xed,ɗìyàk,n,,,,
LX000245,xed,dèzlí,n,,7bd72952166cf32dc5f5429494fbd57a,,
LX000246,xed,dúzlá,n,,67b8e0e497a244fc5b906b7c359d907a,,
LX000247,xed,dì’íŋ,adv,,0b2bcf6e6127ec09af0e722689d13b79,,
LX000248,xed,fsə̀k,n,,,,
LX000249,xed,fsà,v,,,,
LX000250,xed,fsù,n,,,,
LX000251,xed,fsígwìl,n,,,,
LX000252,xed,fwá,v.intr/tr,,,,
LX000253,xed,fwá drám,n,,,,
LX000254,xed,fwá màtràbáhlà’w,n,,,,
LX000255,xed,fwá mìtítkwìɗ,n,,,,
LX000256,xed,fwá ndìzíkwà,n,,,,
LX000257,xed,fwá zgì,n,,,,
LX000258,xed,fá,v.tr,,,,
LX000259,xed,fú,n,,,,
LX000260,xed,fú,n,,,,
LX000261,xed,fá (tá) láhà,v,,,,
LX000262,xed,fáɗá,v,,,,
LX000263,xed,fìɗí,n,,,,
LX000264,xed,fáɗá,v.tr,,,,
LX000265,xed,fìɗá,v,,,,
LX000266,xed,fúɗàkú,vn,,,,
LX000267,xed,fáfà,v.tr,,,,
LX000268,xed,fùfúrì,n,,,,
LX000269,xed,fàgáfà,v,,,,
LX000270,xed,fàlák,n,,,,
LX000271,xed,fànfán,n,,,,
LX000272,xed,fánágháfá,v,,,,
LX000273,xed,fút,n,,,,
LX000274,xed,fìtík,n,,,,
LX000275,xed,fáváfá,v,,,,
LX000276,xed,fíwá,n,,,,
LX000277,xed,gɗérì,n,,,,
LX000278,xed,gə̀gdá,v.tr,,,,
LX000279,xed,gə̀má,v.intr,,,,
LX000280,xed,gə̀rháŋ,n,,,,
LX000281,xed,ghdzə̀ŋə́r,n,,,,
LX000282,xed,ghdzà’ùàlá gwàsí,n,,,,
LX000283,xed,ghə́ŋ,n,,,,
LX000284,xed,ghə́ŋ-à,prep,,,comes from the expression 'head-gen',
LX000285,xed,ghə́rbú’,n,,,,
LX000286,xed,ghə̀rdí,n,,,,
LX000287,xed,ghə̀rvə̀nà’àkú,vn,,,,
LX000288,xed,ghə̀rzlá,n,,,,
LX000289,xed,ghlághlá,n,,,,
LX000290,xed,ghlághlá,v,,,,
LX000291,xed,ghrúm,n,,,,
LX000292,xed,ghwá,n,,493598dc7ab3046ce293bad61b873237,,
LX000293,xed,ghwà,n,,295bac62fa64145dac6605d44fa72b01,,
LX000294,xed,ghwà,v,,350f5ba92cea1de1cf11f6cdd7eb9542,,
